team,team_id,season,league,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
Bochum,268,2022,Bundesliga,a,1.31293,1.4133,1.31293,1.4133,"{'att': 173, 'def': 19}","{'att': 208, 'def': 21}",6,10,1,3,1.2944,l,2022-09-10 16:30:00,0,0,1,0,-0.10037000000000007
Bochum,268,2022,Bundesliga,h,0.292667,1.8077,0.292667,1.8077,"{'att': 318, 'def': 12}","{'att': 143, 'def': 21}",2,6,1,1,0.2937,d,2022-09-18 15:30:00,0,1,0,1,-1.515033
Bochum,268,2022,Bundesliga,a,0.146803,4.21544,0.146803,2.69989,"{'att': 507, 'def': 16}","{'att': 180, 'def': 16}",1,12,0,4,0.0046,l,2022-10-01 13:30:00,0,0,1,0,-2.553087
Bochum,268,2022,Bundesliga,h,0.649959,0.78428,0.649959,0.78428,"{'att': 215, 'def': 26}","{'att': 157, 'def': 19}",3,9,3,0,1.1562,w,2022-10-08 13:30:00,1,0,0,3,-0.13432100000000002
Bochum,268,2022,Bundesliga,a,1.52762,2.40775,1.52762,1.64998,"{'att': 198, 'def': 25}","{'att': 210, 'def': 15}",11,8,1,4,0.7914,l,2022-10-15 13:30:00,0,0,1,0,-0.12236000000000002
Bochum,268,2022,Bundesliga,h,1.11544,1.00303,1.11544,0.245332,"{'att': 212, 'def': 21}","{'att': 181, 'def': 15}",9,4,2,1,1.415,w,2022-10-23 13:30:00,1,0,0,3,0.870108
Bochum,268,2022,Bundesliga,a,0.444056,2.58922,0.444056,2.58922,"{'att': 231, 'def': 22}","{'att': 201, 'def': 17}",2,7,0,4,0.18969999999999998,l,2022-10-29 13:30:00,0,0,1,0,-2.1451640000000003
Bochum,268,2022,Bundesliga,a,0.496214,1.43174,0.496214,0.673959,"{'att': 333, 'def': 29}","{'att': 170, 'def': 14}",5,4,0,3,0.4605,l,2022-11-05 14:30:00,0,0,1,0,-0.177745
Bochum,268,2022,Bundesliga,h,1.68574,0.766603,1.68574,0.766603,"{'att': 261, 'def': 27}","{'att': 199, 'def': 15}",4,6,2,1,2.1449,w,2022-11-08 19:30:00,1,0,0,3,0.919137
Bochum,268,2022,Bundesliga,a,1.13531,2.34583,1.13531,1.58805,"{'att': 206, 'def': 18}","{'att': 140, 'def': 17}",6,13,1,0,0.5161,w,2022-11-12 14:30:00,1,0,0,3,-0.4527399999999999
Bochum,268,2022,Bundesliga,h,1.67446,0.732458,1.67446,0.732458,"{'att': 153, 'def': 25}","{'att': 167, 'def': 20}",1,5,3,1,2.17,w,2023-01-21 14:30:00,1,0,0,3,0.942002
Bochum,268,2022,Bundesliga,a,0.821758,1.8906,0.821758,1.13283,"{'att': 254, 'def': 30}","{'att': 148, 'def': 13}",13,9,0,2,0.5327999999999999,l,2023-01-25 19:30:00,0,0,1,0,-0.311072
Bochum,268,2022,Bundesliga,a,0.912111,2.86841,0.912111,2.86841,"{'att': 143, 'def': 15}","{'att': 243, 'def': 26}",5,6,2,5,0.24270000000000003,l,2023-01-28 14:30:00,0,0,1,0,-1.956299
Bochum,268,2022,Bundesliga,h,2.74719,0.82308,2.74719,0.82308,"{'att': 200, 'def': 27}","{'att': 150, 'def': 20}",7,10,5,2,2.6117,w,2023-02-04 14:30:00,1,0,0,3,1.9241099999999998
Bochum,268,2022,Bundesliga,a,0.242356,4.37602,0.242356,3.61824,"{'att': 343, 'def': 34}","{'att': 167, 'def': 13}",1,18,0,3,0.012400000000000001,l,2023-02-11 14:30:00,0,0,1,0,-3.375884
Bochum,268,2022,Bundesliga,h,1.40839,2.39926,1.40839,2.39926,"{'att': 194, 'def': 35}","{'att': 165, 'def': 28}",6,7,0,2,0.7332,l,2023-02-18 14:30:00,0,0,1,0,-0.9908699999999999
Bochum,268,2022,Bundesliga,a,0.396228,1.17524,0.396228,1.17524,"{'att': 298, 'def': 34}","{'att': 153, 'def': 22}",8,3,0,3,0.6258,l,2023-02-25 14:30:00,0,0,1,0,-0.779012
Bochum,268,2022,Bundesliga,h,0.926001,0.873349,0.926001,0.873349,"{'att': 90, 'def': 30}","{'att': 205, 'def': 18}",4,3,0,2,1.4083999999999999,l,2023-03-04 14:30:00,0,0,1,0,0.05265199999999992
Bochum,268,2022,Bundesliga,a,1.73391,0.585398,0.97613,0.585398,"{'att': 264, 'def': 19}","{'att': 123, 'def': 20}",4,9,2,0,2.3735,w,2023-03-10 19:30:00,1,0,0,3,0.3907320000000001
Bochum,268,2022,Bundesliga,h,1.31052,1.92026,1.31052,1.92026,"{'att': 328, 'def': 26}","{'att': 145, 'def': 16}",4,13,1,0,0.9555,w,2023-03-18 14:30:00,1,0,0,3,-0.6097400000000002
Bochum,268,2022,Bundesliga,a,1.15016,3.09855,1.15016,2.34077,"{'att': 327, 'def': 18}","{'att': 101, 'def': 21}",4,18,1,1,0.276,d,2023-03-31 19:30:00,0,1,0,1,-1.19061
Bochum,268,2022,Bundesliga,h,2.22259,2.37385,1.46482,2.37385,"{'att': 172, 'def': 35}","{'att': 296, 'def': 11}",9,2,2,3,1.2631000000000001,l,2023-04-09 15:30:00,0,0,1,0,-0.90903
Bochum,268,2022,Bundesliga,a,1.51987,1.05608,0.762094,1.05608,"{'att': 170, 'def': 16}","{'att': 285, 'def': 18}",5,5,1,1,1.7575,d,2023-04-16 15:30:00,0,1,0,1,-0.29398599999999986
Bochum,268,2022,Bundesliga,h,2.7745,3.34214,2.7745,2.51309,"{'att': 154, 'def': 35}","{'att': 158, 'def': 12}",10,7,1,5,0.9866000000000001,l,2023-04-22 13:30:00,0,0,1,0,0.26141000000000014
Bochum,268,2022,Bundesliga,h,0.57291,2.93268,0.57291,2.93268,"{'att': 262, 'def': 23}","{'att': 119, 'def': 13}",3,12,1,1,0.139,d,2023-04-28 18:30:00,0,1,0,1,-2.35977
Bochum,268,2022,Bundesliga,a,0.921673,2.31852,0.921673,2.31852,"{'att': 203, 'def': 17}","{'att': 174, 'def': 12}",7,13,0,2,0.5253,l,2023-05-06 13:30:00,0,0,1,0,-1.396847
Bochum,268,2022,Bundesliga,h,1.32347,1.32904,1.32347,1.32904,"{'att': 115, 'def': 23}","{'att': 133, 'def': 19}",7,7,3,2,1.3598,w,2023-05-13 13:30:00,1,0,0,3,-0.005570000000000075
Bochum,268,2022,Bundesliga,a,1.65012,1.36159,1.65012,1.36159,"{'att': 155, 'def': 25}","{'att': 135, 'def': 13}",11,11,1,1,1.6014,d,2023-05-20 13:30:00,0,1,0,1,0.28852999999999995
Bochum,268,2022,Bundesliga,h,1.56183,0.863964,1.56183,0.863964,"{'att': 146, 'def': 40}","{'att': 150, 'def': 13}",13,5,3,0,1.9144,w,2023-05-27 13:30:00,1,0,0,3,0.6978660000000001
