id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
619,Sergio Agüero,33,2551,26,25.270175583660603,8,5.568926602602005,148,33,4,0,F S,Manchester City,21,20.703194603323936,27.805153466761112,6.87816970795393,Manchester City,2014,EPL
617,David Silva,32,2682,12,9.096988203004003,7,10.388411475345492,66,92,8,0,M,Manchester City,12,9.096988203004003,29.14426800608635,16.633574136532843,Manchester City,2014,EPL
878,Yaya Touré,29,2358,10,7.109346902929246,1,3.2435795087367296,89,33,5,0,M S,Manchester City,8,5.5870088106021285,26.024341113865376,20.903273252770305,Manchester City,2014,EPL
4418,Frank Lampard,32,958,6,4.004464207217097,1,0.9529220964759588,32,15,1,0,M S,Manchester City,6,4.004464207217097,11.0393304284662,7.2932740692049265,Manchester City,2014,EPL
489,James Milner,32,1732,5,5.722099112346768,7,4.971145084127784,39,52,6,0,F M S,Manchester City,5,5.722099112346768,15.702085828408599,8.751345762982965,Manchester City,2014,EPL
1524,Stevan Jovetic,17,791,5,3.329762941226363,3,1.8126017600297928,38,15,0,0,F M S,Manchester City,5,3.329762941226363,6.67377707362175,3.645845824852586,Manchester City,2014,EPL
1253,Edin Dzeko,22,928,4,3.9745049700140953,2,1.3088596984744072,43,11,1,0,F S,Manchester City,4,3.9745049700140953,6.803931999951601,2.6693635024130344,Manchester City,2014,EPL
614,Fernandinho,33,2283,3,2.406892266124487,3,2.6950497990474105,24,30,7,0,M S,Manchester City,3,2.406892266124487,13.146947138011456,9.671797774732113,Manchester City,2014,EPL
615,Fernando,25,1886,2,1.6811583247035742,2,1.577612780034542,10,13,6,0,M S,Manchester City,2,1.6811583247035742,11.181313641369343,9.973447944968939,Manchester City,2014,EPL
621,Aleksandar Kolarov,21,1483,2,1.0622944999486208,3,1.7350498177111149,27,23,4,0,D S,Manchester City,2,1.0622944999486208,6.37588469684124,5.423418182879686,Manchester City,2014,EPL
622,Wilfried Bony,10,292,2,2.6391233149915934,1,1.1653639767318964,23,7,1,0,F S,Manchester City,2,2.6391233149915934,4.259955383837223,1.4059314280748367,Manchester City,2014,EPL
877,Samir Nasri,24,1596,2,2.478832798078656,6,4.465053537860513,34,52,5,0,M S,Manchester City,2,2.478832798078656,12.835811033844948,8.548643369227648,Manchester City,2014,EPL
610,Pablo Zabaleta,29,2590,1,1.3584490865468979,4,3.7550920881330967,12,26,6,1,D,Manchester City,1,1.3584490865468979,16.997090798802674,14.821173903532326,Manchester City,2014,EPL
613,Gaël Clichy,23,2060,1,1.0792678203433752,3,2.3040307015180588,8,26,1,0,D,Manchester City,1,1.0792678203433752,10.75069685652852,8.595539764501154,Manchester City,2014,EPL
623,Martín Demichelis,31,2554,1,0.38149650022387505,0,0.26282710395753384,8,5,6,0,D S,Manchester City,1,0.38149650022387505,10.527683798223734,10.460409764200449,Manchester City,2014,EPL
609,Joe Hart,36,3240,0,0,0,0,0,0,1,0,GK,Manchester City,0,0,4.489314075559378,4.489314075559378,Manchester City,2014,EPL
612,Vincent Kompany,25,2035,0,0.32860000617802143,0,0.8567279204726219,6,4,7,0,D S,Manchester City,0,0.32860000617802143,8.872338181361556,8.623441951349378,Manchester City,2014,EPL
616,Jesús Navas,35,2237,0,3.6824576891958714,8,8.588478625752032,45,80,3,0,M S,Manchester City,0,3.6824576891958714,20.13798002526164,11.621539701707661,Manchester City,2014,EPL
624,Willy Caballero,2,180,0,0,0,0,0,0,0,0,GK,Manchester City,0,0,0.20175950229167938,0.20175950229167938,Manchester City,2014,EPL
625,Bacary Sagna,9,736,0,0.020587900653481483,0,0.7601554878056049,1,9,1,0,D S,Manchester City,0,0.020587900653481483,3.730943735688925,3.335897769778967,Manchester City,2014,EPL
626,Eliaquim Mangala,25,2188,0,0.8735053883865476,2,1.0379029847681522,14,5,3,1,D S,Manchester City,0,0.8735053883865476,7.1373283341526985,7.0293374340981245,Manchester City,2014,EPL
679,Scott Sinclair,2,2,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0,Manchester City,2014,EPL
4468,Dedryck Boyata,2,91,0,0,0,0,0,0,1,0,D S,Manchester City,0,0,0.23568500578403473,0.23568500578403473,Manchester City,2014,EPL
4485,José Pozo,3,141,0,0.5196045003831387,0,0.18190999329090118,3,2,0,0,F S,Manchester City,0,0.5196045003831387,0.6281039863824844,0.030911600217223167,Manchester City,2014,EPL
