team,team_id,season,league,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
Malaga,137,2017,La_liga,h,0.913442,1.4766,0.913442,1.4766,"{'att': 159, 'def': 17}","{'att': 261, 'def': 26}",4,8,0,1,0.8563000000000001,l,2017-08-21 21:00:00,0,0,1,0,-0.5631579999999999
Malaga,137,2017,La_liga,a,0.325871,1.66954,0.325871,1.66954,"{'att': 179, 'def': 23}","{'att': 284, 'def': 40}",3,3,0,1,0.2743,l,2017-08-26 19:15:00,0,0,1,0,-1.343669
Malaga,137,2017,La_liga,h,0.904978,1.89906,0.904978,1.89906,"{'att': 243, 'def': 35}","{'att': 219, 'def': 21}",1,7,1,3,0.6441,l,2017-09-11 20:00:00,0,0,1,0,-0.994082
Malaga,137,2017,La_liga,a,0.438352,1.54645,0.438352,1.54645,"{'att': 355, 'def': 26}","{'att': 196, 'def': 27}",2,8,0,1,0.45610000000000006,l,2017-09-16 19:45:00,0,0,1,0,-1.108098
Malaga,137,2017,La_liga,a,0.817228,3.40858,0.817228,3.40858,"{'att': 282, 'def': 19}","{'att': 227, 'def': 20}",4,9,0,5,0.1175,l,2017-09-19 19:00:00,0,0,1,0,-2.591352
Malaga,137,2017,La_liga,h,2.36068,1.93264,2.36068,1.18936,"{'att': 275, 'def': 28}","{'att': 221, 'def': 25}",7,4,3,3,1.6987,d,2017-09-23 17:30:00,0,1,0,1,1.17132
Malaga,137,2017,La_liga,a,0.429422,2.50129,0.429422,1.75801,"{'att': 322, 'def': 24}","{'att': 162, 'def': 31}",2,7,0,2,0.1675,l,2017-09-30 15:15:00,0,0,1,0,-1.328588
Malaga,137,2017,La_liga,h,1.13838,1.93807,1.13838,1.93807,"{'att': 155, 'def': 24}","{'att': 221, 'def': 34}",3,2,0,2,0.7341,l,2017-10-15 17:30:00,0,0,1,0,-0.79969
Malaga,137,2017,La_liga,a,0.629202,2.19062,0.629202,2.19062,"{'att': 401, 'def': 16}","{'att': 185, 'def': 25}",1,15,0,2,0.33320000000000005,l,2017-10-21 19:45:00,0,0,1,0,-1.561418
Malaga,137,2017,La_liga,h,2.03731,1.07069,1.29403,1.07069,"{'att': 379, 'def': 29}","{'att': 126, 'def': 18}",6,2,2,1,2.2034,w,2017-10-29 19:45:00,1,0,0,3,0.2233400000000001
Malaga,137,2017,La_liga,a,0.594488,1.19462,0.594488,1.19462,"{'att': 267, 'def': 25}","{'att': 160, 'def': 28}",4,6,0,2,0.7944,l,2017-11-05 17:30:00,0,0,1,0,-0.600132
Malaga,137,2017,La_liga,h,1.7392,1.29498,1.7392,1.29498,"{'att': 263, 'def': 31}","{'att': 212, 'def': 25}",4,5,3,2,1.7597,w,2017-11-19 11:00:00,1,0,0,3,0.44422000000000006
Malaga,137,2017,La_liga,a,0.540736,3.0172,0.540736,2.12065,"{'att': 289, 'def': 22}","{'att': 206, 'def': 28}",5,8,2,3,0.06509999999999999,l,2017-11-25 15:15:00,0,0,1,0,-1.579914
Malaga,137,2017,La_liga,h,0.863467,0.444647,0.863467,0.444647,"{'att': 129, 'def': 26}","{'att': 285, 'def': 18}",9,2,0,0,1.6631999999999998,d,2017-12-01 20:00:00,0,1,0,1,0.41881999999999997
Malaga,137,2017,La_liga,a,1.85567,1.71766,0.245452,1.71766,"{'att': 282, 'def': 23}","{'att': 129, 'def': 21}",1,20,2,0,1.5292999999999999,w,2017-12-10 11:00:00,1,0,0,3,-1.472208
Malaga,137,2017,La_liga,h,1.07205,1.97464,1.07205,1.97464,"{'att': 260, 'def': 26}","{'att': 183, 'def': 25}",4,3,0,2,0.6268,l,2017-12-18 20:00:00,0,0,1,0,-0.90259
Malaga,137,2017,La_liga,a,0.299907,2.132,0.299907,2.132,"{'att': 172, 'def': 33}","{'att': 243, 'def': 28}",3,4,0,1,0.17170000000000002,l,2017-12-21 20:30:00,0,0,1,0,-1.8320930000000002
Malaga,137,2017,La_liga,h,1.10377,0.300209,1.10377,0.300209,"{'att': 149, 'def': 27}","{'att': 230, 'def': 14}",6,3,0,1,2.1336999999999997,l,2018-01-08 20:00:00,0,0,1,0,0.803561
Malaga,137,2017,La_liga,a,0.378534,1.37242,0.378534,1.37242,"{'att': 123, 'def': 20}","{'att': 244, 'def': 27}",2,5,0,1,0.4714,l,2018-01-12 20:00:00,0,0,1,0,-0.993886
Malaga,137,2017,La_liga,a,1.36627,1.43961,1.36627,1.43961,"{'att': 262, 'def': 18}","{'att': 81, 'def': 23}",2,3,1,1,1.2837,d,2018-01-22 20:00:00,0,1,0,1,-0.07333999999999996
Malaga,137,2017,La_liga,h,0.717136,0.694387,0.717136,0.694387,"{'att': 293, 'def': 36}","{'att': 206, 'def': 22}",3,2,0,0,1.3786,d,2018-01-27 17:30:00,0,1,0,1,0.02274900000000002
Malaga,137,2017,La_liga,a,0.838368,0.305749,0.838368,0.305749,"{'att': 298, 'def': 27}","{'att': 120, 'def': 14}",1,5,0,1,1.9555,l,2018-02-05 20:00:00,0,0,1,0,0.532619
Malaga,137,2017,La_liga,h,0.412228,0.507754,0.412228,0.507754,"{'att': 224, 'def': 34}","{'att': 190, 'def': 28}",1,2,0,1,1.1114,l,2018-02-10 15:15:00,0,0,1,0,-0.09552600000000006
Malaga,137,2017,La_liga,h,1.14716,1.18698,1.14716,0.443703,"{'att': 271, 'def': 37}","{'att': 73, 'def': 24}",1,4,1,2,1.2770000000000001,l,2018-02-17 19:45:00,0,0,1,0,0.703457
Malaga,137,2017,La_liga,a,1.38648,0.620357,0.6432,0.620357,"{'att': 217, 'def': 25}","{'att': 162, 'def': 27}",0,4,1,2,2.1024000000000003,l,2018-02-25 15:15:00,0,0,1,0,0.022842999999999947
Malaga,137,2017,La_liga,h,0.295635,0.896695,0.295635,0.896695,"{'att': 224, 'def': 25}","{'att': 205, 'def': 29}",2,8,0,1,0.6714,l,2018-02-28 18:30:00,0,0,1,0,-0.60106
Malaga,137,2017,La_liga,a,0.521384,1.0368,0.521384,1.0368,"{'att': 244, 'def': 33}","{'att': 157, 'def': 19}",1,1,0,2,0.8183,l,2018-03-03 17:30:00,0,0,1,0,-0.515416
Malaga,137,2017,La_liga,h,0.541391,2.42399,0.541391,2.42399,"{'att': 489, 'def': 23}","{'att': 115, 'def': 25}",3,13,0,2,0.2509,l,2018-03-10 19:45:00,0,0,1,0,-1.882599
Malaga,137,2017,La_liga,a,0.483684,1.38296,0.483684,1.38296,"{'att': 233, 'def': 37}","{'att': 199, 'def': 31}",3,8,0,0,0.5506,d,2018-03-18 17:30:00,0,1,0,1,-0.899276
Malaga,137,2017,La_liga,h,1.53768,0.374247,0.79479,0.374247,"{'att': 283, 'def': 29}","{'att': 218, 'def': 27}",3,7,1,0,2.4017,w,2018-04-01 17:30:00,1,0,0,3,0.420543
Malaga,137,2017,La_liga,a,0.66021,2.38294,0.66021,1.63966,"{'att': 194, 'def': 25}","{'att': 208, 'def': 30}",4,6,2,3,0.28,l,2018-04-06 19:00:00,0,0,1,0,-0.9794499999999999
Malaga,137,2017,La_liga,h,1.18107,2.29821,1.18107,2.29821,"{'att': 385, 'def': 29}","{'att': 233, 'def': 21}",2,18,1,2,0.6124,l,2018-04-15 18:45:00,0,0,1,0,-1.11714
Malaga,137,2017,La_liga,a,0.547059,1.28691,0.547059,1.28691,"{'att': 291, 'def': 32}","{'att': 261, 'def': 20}",5,11,0,1,0.6399,l,2018-04-19 19:30:00,0,0,1,0,-0.739851
Malaga,137,2017,La_liga,h,1.01179,1.24873,1.01179,1.24873,"{'att': 365, 'def': 14}","{'att': 180, 'def': 15}",3,6,2,0,1.1324999999999998,w,2018-04-22 14:15:00,1,0,0,3,-0.23693999999999993
