id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
2543,Borja Iglesias,28,1413,11,8.94885334186256,0,0.6445801053196192,38,6,2,0,F S,Real Betis,6,5.232592238113284,6.357380710542202,2.4305378440767527,Real Betis,2020,La_liga
2571,Sergio Canales,31,2509,8,5.708787698298693,6,7.230448530986905,47,60,4,0,M S,Real Betis,6,3.4790803976356983,12.321420669555664,6.189744429662824,Real Betis,2020,La_liga
1421,Cristian Tello,29,1264,5,2.584295691922307,3,2.1894060149788857,35,20,0,1,F M S,Real Betis,5,2.584295691922307,6.694115916267037,2.240254320204258,Real Betis,2020,La_liga
3667,Nabil Fekir,33,2660,5,7.137758933007717,5,5.156046548858285,86,52,5,1,F M,Real Betis,4,4.908181913197041,13.082486122846603,6.098533859476447,Real Betis,2020,La_liga
2217,Antonio Sanabria,16,938,3,4.913338549435139,0,0.08844870049506426,25,3,2,0,F S,Real Betis,3,4.913338549435139,6.0364433117210865,1.7683239914476871,Real Betis,2020,La_liga
3237,Aissa Mandi,28,2399,3,2.4947016295045614,1,1.0246023871004581,8,4,4,2,D S,Real Betis,3,2.4947016295045614,3.8862491492182016,3.8397101406008005,Real Betis,2020,La_liga
897,Juanmi,16,600,2,3.075910694897175,0,0.04561480134725571,14,2,1,0,F M S,Real Betis,2,3.075910694897175,2.599301964044571,0.8825420113280416,Real Betis,2020,La_liga
2148,Joaquín,27,1310,2,0.591527795419097,5,2.578598041087389,10,31,2,0,F M S,Real Betis,2,0.591527795419097,4.876306667923927,3.305245083756745,Real Betis,2020,La_liga
2298,Víctor Ruiz,27,2148,2,1.5286895371973515,0,0.048084499314427376,4,2,9,0,D S,Real Betis,2,1.5286895371973515,4.9408372063189745,4.901782209053636,Real Betis,2020,La_liga
6427,Aitor Ruibal,28,1617,2,2.7364948159083724,2,2.053366022184491,33,24,2,0,D M S,Real Betis,2,2.7364948159083724,6.422493936493993,2.740351101383567,Real Betis,2020,La_liga
6926,William Carvalho,27,1215,2,1.405667006969452,0,0.5925084799528122,15,9,4,1,M S,Real Betis,2,1.405667006969452,3.303342854604125,2.2817584220319986,Real Betis,2020,La_liga
6164,Andrés Guardado,24,1333,1,0.34880690462887287,0,0.29296489991247654,11,8,4,0,M S,Real Betis,1,0.34880690462887287,4.730534275993705,4.38693393394351,Real Betis,2020,La_liga
6528,Loren Morón,26,964,1,3.114146089181304,0,0.41681490279734135,24,7,2,0,F S,Real Betis,1,3.114146089181304,3.1436887867748737,0.269266196526587,Real Betis,2020,La_liga
7286,Juan Miranda,22,1647,1,0.837308119982481,2,1.399414619896561,10,12,4,0,D S,Real Betis,1,0.837308119982481,4.186506398022175,2.308470379561186,Real Betis,2020,La_liga
7430,Emerson,34,2998,1,1.3979490110650659,4,3.1854076432064176,11,33,9,1,D,Real Betis,1,1.3979490110650659,11.83453775383532,9.574182515963912,Real Betis,2020,La_liga
8267,Guido Rodríguez,35,2879,1,1.84852793533355,0,0.6430491097271442,30,11,10,0,M S,Real Betis,1,1.84852793533355,7.998269607312977,7.33686335477978,Real Betis,2020,La_liga
584,Joel Robles,18,1620,0,0,0,0.021781500428915024,0,1,2,0,GK,Real Betis,0,0,0.7925357948988676,0.7707542944699526,Real Betis,2020,La_liga
1731,Claudio Bravo,20,1800,0,0,0,0.08207379840314388,0,3,3,0,GK,Real Betis,0,0,2.6034140028059483,2.5213404055684805,Real Betis,2020,La_liga
1950,Martín Montoya,5,233,0,0.08263818733394146,0,0.4706376101821661,2,4,0,1,D S,Real Betis,0,0.08263818733394146,1.0185863841325045,0.4733442012220621,Real Betis,2020,La_liga
2314,Sidnei,11,691,0,0.1101439967751503,0,0,1,0,1,0,D S,Real Betis,0,0.1101439967751503,0.735219195485115,0.735219195485115,Real Betis,2020,La_liga
2453,Marc Bartra,19,1700,0,0.3677644347772002,1,0.9115984980016947,10,3,3,0,D,Real Betis,0,0.3677644347772002,3.3159509003162384,3.2674761041998863,Real Betis,2020,La_liga
4120,Álex Moreno,23,1787,0,1.0513431131839752,2,2.7795747611671686,11,18,4,0,D S,Real Betis,0,1.0513431131839752,7.310634359717369,4.662403389811516,Real Betis,2020,La_liga
7354,Diego Lainez,21,840,0,0.6005549095571041,2,0.5485983900725842,13,13,5,0,M S,Real Betis,0,0.6005549095571041,2.6015700921416283,1.8373598977923393,Real Betis,2020,La_liga
7355,Paul Akouokou,10,374,0,0,0,0.5795638784766197,0,2,3,1,M S,Real Betis,0,0,1.2481798082590103,0.6686159148812294,Real Betis,2020,La_liga
8410,Rodrigo Sánchez,15,527,0,0.1950973980128765,0,0.6963024977594614,5,8,0,0,M S,Real Betis,0,0.1950973980128765,1.5889735855162144,0.896450188010931,Real Betis,2020,La_liga
